연번,시도,시군구,읍면동,우편번호,주소,위도,경도
161,서울,노원구,공릉1동,1844,서울특별시 노원구 동일로186길 3-24,37.6248286,127.0738422
162,서울,노원구,공릉2동,1823,서울특별시 노원구 노원로1길 68,37.6213072,127.0833653
163,서울,노원구,하계1동,1791,서울특별시 노원구 노원로 261,37.6405789,127.0725768
164,서울,노원구,하계2동,1863,서울특별시 노원구 공릉로55길 88,37.6319985,127.0678584
165,서울,노원구,중계본동,1739,서울특별시 노원구 중계로 143,37.6478085,127.080327
166,서울,노원구,중계1동,1713,서울특별시 노원구 한글비석로 279,37.652546,127.0775036
167,서울,노원구,중계2.3동,1787,서울특별시 노원구 노원로17길 56,37.6421154,127.0687082
168,서울,노원구,중계4동,1717,서울특별시 노원구 덕릉로82길 50,37.6587777,127.0779603
169,서울,노원구,상계1동,1604,서울특별시 노원구 동일로 1697,37.6798498,127.0548843
170,서울,노원구,상계2동,1696,서울특별시 노원구 상계로 118,37.6574741,127.0678426
171,서울,노원구,상계3.4동,1633,서울특별시 노원구 덕릉로 859,37.6729446,127.0832056
172,서울,노원구,상계5동,1667,서울특별시 노원구 한글비석로 432,37.6627341,127.069523
173,서울,노원구,상계6.7동,1752,서울특별시 노원구 노원로 429,37.654885,127.0669622
174,서울,노원구,상계8동,1619,서울특별시 노원구 동일로227길 97,37.6667588,127.0515649
175,서울,노원구,상계9동,1678,서울특별시 노원구 한글비석로 487,37.6645511,127.0638272
176,서울,노원구,상계10동,1676,서울특별시 노원구 노원로 530,37.6612653,127.0602534
177,서울,은평구,녹번동,3374,서울특별시 은평구 은평로 195,37.6026712,126.9288772
178,서울,은평구,불광제1동,3368,서울특별시 은평구 진흥로15길 10,37.6103316,126.9320651
179,서울,은평구,불광제2동,3340,서울특별시 은평구 연서로41길 18,37.6264615,126.9264837
180,서울,은평구,갈현제1동,3325,서울특별시 은평구 갈현로 301,37.623674,126.9167419
181,서울,은평구,갈현제2동,3334,서울특별시 은평구 연서로27길 31-6,37.6186002,126.9158472
182,서울,은평구,구산동,3430,서울특별시 은평구 갈현로17길 10,37.6117673,126.9103619
183,서울,은평구,대조동,3389,서울특별시 은평구 연서로20길 24-3,37.6141699,126.9208191
184,서울,은평구,응암제1동,3462,서울특별시 은평구 백련산로 179,37.6007599,126.9267774
185,서울,은평구,응암제2동,3475,서울특별시 은평구 백련산로 100,37.5945038,126.9231175
186,서울,은평구,응암제3동,3457,서울특별시 은평구 불광천길 410-17,37.5922398,126.9156626
187,서울,은평구,역촌동,3417,서울특별시 은평구 연서로 59,37.6044279,126.9151883
188,서울,은평구,신사제1동,3450,서울특별시 은평구 은평로2길 2,37.5978331,126.9118365
189,서울,은평구,신사제2동,3447,서울특별시 은평구 증산로15길 47,37.5902536,126.9084059
190,서울,은평구,증산동,3498,서울특별시 은평구 증산서길 89,37.5843472,126.9070352
191,서울,은평구,수색동,3490,서울특별시 은평구 수색로280,37.5834658,126.8937458
192,서울,은평구,진관동,3306,서울특별시 은평구 진관2로 31,37.634928,126.9209527
193,서울,서대문구,충현동,3748,서울특별시 서대문구 북아현로22길 38,37.5648072,126.9547237
194,서울,서대문구,천연동,3743,서울특별시 서대문구 성산로 694,37.5711149,126.9590574
195,서울,서대문구,북아현동,3756,서울특별시 서대문구 북아현로 24,37.559478,126.9570302
196,서울,서대문구,신촌동,3777,서울특별시 서대문구 연세로2나길 47,37.5578096,126.9395561
197,서울,서대문구,연희동,3697,서울특별시 서대문구 연희로 189,37.5738808,126.9352417
198,서울,서대문구,홍제제1동,3646,서울특별시 서대문구 통일로 435-1,37.587664,126.9449215
199,서울,서대문구,홍제제2동,3632,서울특별시 서대문구 통일로34길 27,37.5861083,126.949354
200,서울,서대문구,홍제제3동,3622,서울특별시 서대문구 세검정로4길 32,37.5937611,126.9497306
201,서울,서대문구,홍은제1동,3604,서울특별시 서대문구 홍은중앙로 85,37.5988641,126.9471446
202,서울,서대문구,홍은제2동,3658,서울특별시 서대문구 모래내로 334,37.5801356,126.9341863
203,서울,서대문구,남가좌제1동,3711,서울특별시 서대문구 모래내로15길 37,37.5732354,126.9197175
204,서울,서대문구,남가좌제2동,3665,서울특별시 서대문구 증가로10길 28,37.5784484,126.9238774
205,서울,서대문구,북가좌제1동,3709,서울특별시 서대문구 수색로 100-55,37.5743045,126.9102019
206,서울,서대문구,북가좌제2동,3678,서울특별시 서대문구 응암로1길 10,37.5814782,126.9111717
207,서울,마포구,공덕동,4208,서울특별시 마포구 만리재옛길 84 ,37.550204,126.9600793
208,서울,마포구,아현동,4142,서울특별시 마포구 마포대로7길 18 ,37.5471004,126.9521783
209,서울,마포구,도화동,4168,서울특별시 마포구 도화길 37 ,37.5415761,126.9499333
210,서울,마포구,용강동,4161,서울특별시 마포구 토정로31길 31 ,37.5423159,126.9427919
211,서울,마포구,대흥동,4103,서울특별시 마포구 신촌로26길 10 ,37.5558507,126.9421878
212,서울,마포구,염리동,4138,서울특별시 마포구 숭문길 14 ,37.5470876,126.9456663
213,서울,마포구,신수동,4089,서울특별시 마포구 독막로 192 ,37.547098,126.9351834
214,서울,마포구,서강동,4099,서울특별시 마포구 독막로 165 ,37.5477111,126.9320121
215,서울,마포구,서교동,4003,서울특별시 마포구 동교로15길 7 ,37.5551181,126.9145743
216,서울,마포구,합정동,4024,서울특별시 마포구 월드컵로5길 11 ,37.5510529,126.9118656
217,서울,마포구,망원제1동,4010,서울특별시 마포구 포은로6길 10 ,37.5555808,126.9058605
218,서울,마포구,망원제2동,3960,서울특별시 마포구 방울내로7길 11 ,37.5603402,126.9022765
219,서울,마포구,연남동,3979,서울특별시 마포구 성미산로29길 17-9 ,37.5644978,126.9219889
220,서울,마포구,성산제1동,3965,서울특별시 마포구 성산로4길 15 ,37.5633686,126.9079759
221,서울,마포구,성산제2동,3946,서울특별시 마포구 월드컵북로30길 22 ,37.5686424,126.9089435
222,서울,마포구,상암동,3927,서울특별시 마포구 매봉산로2길 16 ,37.5782901,126.8946764
223,서울,양천구,목1동,7992,서울특별시 양천구 목동서로 192,37.5303381,126.8711177
224,서울,양천구,목2동,7972,서울특별시 양천구 목동중앙본로 120,37.5461382,126.8716641
225,서울,양천구,목3동,7951,서울특별시 양천구 목동중앙남로16나길 55,37.5447686,126.8644557
226,서울,양천구,목4동,7967,서울특별시 양천구 목동중앙로 25,37.532395,126.8683613
227,서울,양천구,목5동,7984,서울특별시 양천구 목동서로 41,37.5371646,126.8817305
228,서울,양천구,신월1동,7920,서울특별시 양천구 곰달래로1길 38,37.5328295,126.831521
229,서울,양천구,신월2동,7936,서울특별시 양천구 중앙로53길 47,37.5249932,126.8445777
230,서울,양천구,신월3동,7910,서울특별시 양천구 남부순환로54길 5,37.5336393,126.8291041
231,서울,양천구,신월4동,7929,서울특별시 양천구 오목로5길 34,37.5247014,126.8400911
232,서울,양천구,신월5동,7904,서울특별시 양천구 화곡로4길 10,37.5385543,126.8272033
233,서울,양천구,신월6동,8067,서울특별시 양천구 남부순환로83길 53,37.5179666,126.8451222
234,서울,양천구,신월7동,8039,서울특별시 양천구 지양로14길 17,37.5239223,126.8326433
235,서울,양천구,신정1동,8085,서울특별시 양천구 중앙로32길 1,37.5185819,126.8543294
236,서울,양천구,신정2동,8114,서울특별시 양천구 목동동로 154,37.5192116,126.8705988
237,서울,양천구,신정3동,8077,서울특별시 양천구 중앙로 209,37.5151161,126.8547766
238,서울,양천구,신정4동,8020,서울특별시 양천구 오목로34길 5,37.5245641,126.8558001
239,서울,양천구,신정6동,8094,서울특별시 양천구 목동서로 353,37.517037,126.86449
240,서울,양천구,신정7동,8092,서울특별시 양천구 목동동로 37,37.5143744,126.8596108
241,서울,강서구,염창동,7535,서울특별시 강서구 양천로67가길 63,37.5537583,126.8709683
242,서울,강서구,등촌제1동,7569,서울특별시 강서구 공항대로53가길 55,37.5558238,126.8589361
